date,meal_type,recipe_id
2025-07-29,breakfast,3
2025-07-29,lunch,4
2025-07-29,dinner,9
2025-07-30,breakfast,3
2025-07-30,lunch,6
2025-07-30,dinner,10
2025-07-31,breakfast,1
2025-07-31,lunch,6
2025-07-31,dinner,8
2025-08-01,breakfast,3
2025-08-01,lunch,5
2025-08-01,dinner,10
2025-08-02,breakfast,3
2025-08-02,lunch,6
2025-08-02,dinner,9
2025-08-03,breakfast,2
2025-08-03,lunch,6
2025-08-03,dinner,10
2025-08-04,breakfast,1
2025-08-04,lunch,4
2025-08-04,dinner,8
2025-08-05,breakfast,1
2025-08-05,lunch,5
2025-08-05,dinner,7
2025-08-06,breakfast,3
2025-08-06,lunch,6
2025-08-06,dinner,8
2025-08-07,breakfast,3
2025-08-07,lunch,4
2025-08-07,dinner,7
2025-08-08,breakfast,1
2025-08-08,lunch,6
2025-08-08,dinner,7
2025-08-09,breakfast,1
2025-08-09,lunch,4
2025-08-09,dinner,7
2025-08-10,breakfast,2
2025-08-10,lunch,4
2025-08-10,dinner,8
2025-08-11,breakfast,2
2025-08-11,lunch,6
2025-08-11,dinner,10
2025-08-12,breakfast,1
2025-08-12,lunch,6
2025-08-12,dinner,8
2025-08-13,breakfast,3
2025-08-13,lunch,6
2025-08-13,dinner,10
2025-08-14,breakfast,1
2025-08-14,lunch,5
2025-08-14,dinner,10
2025-08-15,breakfast,1
2025-08-15,lunch,4
2025-08-15,dinner,7
2025-08-16,breakfast,3
2025-08-16,lunch,5
2025-08-16,dinner,9
2025-08-17,breakfast,2
2025-08-17,lunch,5
2025-08-17,dinner,10
2025-08-18,breakfast,3
2025-08-18,lunch,4
2025-08-18,dinner,7
2025-08-19,breakfast,1
2025-08-19,lunch,5
2025-08-19,dinner,9
2025-08-20,breakfast,1
2025-08-20,lunch,4
2025-08-20,dinner,8
2025-08-21,breakfast,1
2025-08-21,lunch,6
2025-08-21,dinner,10
2025-08-22,breakfast,1
2025-08-22,lunch,5
2025-08-22,dinner,8
2025-08-23,breakfast,2
2025-08-23,lunch,5
2025-08-23,dinner,8
2025-08-24,breakfast,1
2025-08-24,lunch,5
2025-08-24,dinner,7
2025-08-25,breakfast,1
2025-08-25,lunch,6
2025-08-25,dinner,7
2025-08-26,breakfast,1
2025-08-26,lunch,4
2025-08-26,dinner,8
2025-08-27,breakfast,2
2025-08-27,lunch,5
2025-08-27,dinner,10
